MeterNo,IsSuccessful,CompletedOn
CRYT3153042,True,2025-22-04 14:22:03,
CRYT3028172,True,2025-21-04 14:21:58,
CRYT3065407,True,2025-21-04 14:21:56,
CRYT3065301,True,2025-21-04 14:21:57,
CRYT3073156,True,2025-21-04 14:21:57,
CRYT3160605,True,2025-21-04 14:21:56,
CRYT3159649,True,2025-21-04 14:21:57,
CRYT3151268,True,2025-21-04 14:21:58,
CRYT3164991,True,2025-21-04 14:21:58,
CRYT3150583,True,2025-21-04 14:21:58,
CRYT3161587,True,2025-21-04 14:21:58,
CRYT3027509,True,2025-21-04 14:21:59,
CRYT3017427,False,2025-22-04 14:22:57,Id_337 CRYT3017427 Could not open tcp connection
CRYT3025091,False,2025-22-04 14:22:57,Id_338 CRYT3025091 Could not open tcp connection
CRYT3159103,True,2025-22-04 14:22:00,
CRYT3159391,True,2025-21-04 14:21:59,
CRYT3153697,True,2025-21-04 14:21:59,
CRYT3162566,False,2025-22-04 14:22:58,Id_342 CRYT3162566 Could not open tcp connection
CRYT3032710,False,2025-22-04 14:22:58,Id_343 CRYT3032710 Could not open tcp connection
CRYT3037105,True,2025-21-04 14:21:59,
CRYT3067956,True,2025-22-04 14:22:01,
CRYT3067901,True,2025-22-04 14:22:01,
CRYT3161530,True,2025-22-04 14:22:07,
CRYT3159458,True,2025-22-04 14:22:08,
CRYT3151074,True,2025-22-04 14:22:01,
CRYT3151598,True,2025-22-04 14:22:02,
CRYT3153435,True,2025-22-04 14:22:01,
CRYT3160342,True,2025-22-04 14:22:16,
CRYT3160480,True,2025-22-04 14:22:03,
CRYT3038272,True,2025-22-04 14:22:03,
CRYT3026456,True,2025-22-04 14:22:04,
CRYT3017923,False,2025-23-04 14:23:02,Id_356 CRYT3017923 Could not open tcp connection
CRYT3030923,True,2025-22-04 14:22:04,
CRYT3025759,True,2025-22-04 14:22:04,
CRYT3015797,True,2025-22-04 14:22:05,
CRYT3027530,True,2025-22-04 14:22:04,
CRYT3162126,False,2025-23-04 14:23:03,Id_361 CRYT3162126 Could not open tcp connection
CRYT3151246,True,2025-22-04 14:22:05,
CRYT3151301,False,2025-23-04 14:23:04,Id_363 CRYT3151301 Could not open tcp connection
CRYT3151127,True,2025-22-04 14:22:06,
CRYT3044111,True,2025-22-04 14:22:06,
CRYT3065870,True,2025-22-04 14:22:07,
CRYT3066950,False,2025-23-04 14:23:05,Id_367 CRYT3066950 Could not open tcp connection
CRYT3068640,True,2025-22-04 14:22:08,
CRYT3029163,True,2025-22-04 14:22:08,
CRYT3032517,True,2025-22-04 14:22:08,
CRYT3150016,True,2025-22-04 14:22:09,
CRYT3031224,True,2025-22-04 14:22:09,
CRYT3164100,False,2025-23-04 14:23:07,Id_373 CRYT3164100 Could not open tcp connection
CRYT3066692,False,2025-23-04 14:23:07,Id_374 CRYT3066692 Could not open tcp connection
CRYT3033111,False,2025-23-04 14:23:07,Id_375 CRYT3033111 Could not open tcp connection
CRYT3070188,False,2025-23-04 14:23:08,Id_376 CRYT3070188 Could not open tcp connection
CRYT3029691,True,2025-22-04 14:22:10,
CRYT3031522,True,2025-22-04 14:22:10,
CRYT3159402,True,2025-22-04 14:22:10,
CRYT3158666,True,2025-22-04 14:22:12,
CRYT3016729,False,2025-23-04 14:23:10,Id_381 CRYT3016729 Could not open tcp connection
CRYT3033545,True,2025-22-04 14:22:12,
CRYT3019719,False,2025-23-04 14:23:10,Id_383 CRYT3019719 Could not open tcp connection
CRYT3042326,True,2025-22-04 14:22:19,
CRYT3160023,False,2025-23-04 14:23:11,Id_385 CRYT3160023 Could not open tcp connection
CRYT3161502,True,2025-22-04 14:22:14,
CRYT3159938,False,2025-23-04 14:23:12,Id_387 CRYT3159938 Could not open tcp connection
CRYT3019494,False,2025-23-04 14:23:13,Id_388 CRYT3019494 Could not open tcp connection
CRYT3030114,True,2025-22-04 14:22:16,
CRYT3018386,False,2025-23-04 14:23:15,Id_390 CRYT3018386 Could not open tcp connection
CRYT3040135,True,2025-22-04 14:22:19,
CRYT3157364,True,2025-22-04 14:22:17,
CRYT3159675,True,2025-22-04 14:22:17,
CRYT3161589,True,2025-22-04 14:22:18,
CRYT3066078,False,2025-23-04 14:23:16,Id_395 CRYT3066078 Could not open tcp connection
CRYT3040723,True,2025-22-04 14:22:25,
CRYT3068998,True,2025-22-04 14:22:20,
CRYT3026326,True,2025-22-04 14:22:19,
CRYT3073162,True,2025-22-04 14:22:19,
CRYT3074224,True,2025-22-04 14:22:20,
CRYT3026565,True,2025-22-04 14:22:21,
CRYT3019855,False,2025-23-04 14:23:18,Id_402 CRYT3019855 Could not open tcp connection
CRYT3035290,True,2025-22-04 14:22:21,
CRYT3065640,False,2025-23-04 14:23:19,Id_404 CRYT3065640 Could not open tcp connection
CRYT3037252,True,2025-22-04 14:22:22,
CRYT3030359,True,2025-22-04 14:22:29,
CRYT3161122,True,2025-22-04 14:22:21,
CRYT3161335,True,2025-22-04 14:22:30,
CRYT3163254,True,2025-22-04 14:22:22,
CRYT3162936,True,2025-22-04 14:22:22,
CRYT3164494,True,2025-22-04 14:22:29,
CRYT3152554,True,2025-22-04 14:22:31,
CRYT3160966,True,2025-22-04 14:22:24,
CRYT3163091,False,2025-23-04 14:23:22,Id_414 CRYT3163091 Could not open tcp connection
CRYT3151818,True,2025-22-04 14:22:25,
CRYT3074886,False,2025-23-04 14:23:23,Id_416 CRYT3074886 Could not open tcp connection
CRYT3153771,True,2025-22-04 14:22:33,
CRYT3314282,True,2025-22-04 14:22:26,
CRYT3345177,True,2025-22-04 14:22:26,
CRYT3027674,False,2025-23-04 14:23:25,Id_420 CRYT3027674 Could not open tcp connection
CRYT3017583,True,2025-22-04 14:22:27,
CRYT3030277,True,2025-22-04 14:22:28,
