Meter No.,IP ,Keys 
CRYT3150522,2405:0203:c3f9:5C2E:0000:0000:0000:0010,123
CRYT3157540,2405:0203:c3f4:F6E5:0000:0000:0000:0010,123
CRYT3150178,2405:0203:c3f9:6761:0000:0000:0000:0010,123
CRYT3163630,2405:0203:c3f9:ABFD:0000:0000:0000:0010,123
CRYT3163909,2405:0203:c3f9:AFE2:0000:0000:0000:0010,123
CRYT3151406,2405:0203:c3f9:9F61:0000:0000:0000:0010,123
CRYT3069065,2405:0203:c3f4:CE68:0000:0000:0000:0010,123
CRYT3029231,2405:0203:c3f4:5DF5:0000:0000:0000:0010,123
CRYT3029837,2405:0203:c3f4:604E:0000:0000:0000:0010,123
CRYT3161239,2405:0203:c3f9:9B16:0000:0000:0000:0010,123
CRYT3162010,2405:0203:c3f4:E633:0000:0000:0000:0010,123
CRYT3160962,2405:0203:c3f4:EF8E:0000:0000:0000:0010,123
CRYT3162279,2405:0203:c3f4:EDE5:0000:0000:0000:0010,123
CRYT3162425,2405:0203:c3f4:F018:0000:0000:0000:0010,123
CRYT3155727,2405:0203:c3f4:F68C:0000:0000:0000:0010,123
CRYT3155512,2405:0203:c3f4:EDD3:0000:0000:0000:0010,123
CRYT3155409,2405:0203:c3f4:ED77:0000:0000:0000:0010,123
CRYT3157572,2405:0203:c3f4:F723:0000:0000:0000:0010,123
CRYT3158332,2405:0203:c3f9:AB2C:0000:0000:0000:0010,123
CRYT3018029,2405:0203:c3f4:3AD5:0000:0000:0000:0010,123
CRYT3030760,2405:0203:c3f4:B85D:0000:0000:0000:0010,123
CRYT3028761,2405:0203:c3f4:5F27:0000:0000:0000:0010,123
CRYT3074890,2405:0203:c3f9:88FE:0000:0000:0000:0010,123
CRYT3152156,2405:0203:c3f9:C0EC:0000:0000:0000:0010,123
